P,m,sigma,tau,F,d,mu,a,b/d,x,k,y
Error: k>1,Error: k>1,Error: k>1,Error: k>1,Error: k>1,Error: k>1,Error: k>1,Error: k>1,Error: k>1,Error: k>1,Error: k>1,Error: k>1
1978197.438,2,1700,1020.0,969.7046,35.1378,1.1,30.106,2.1,19.3258,0.9997040000000001,25.9571
1978197.438,2,1700,1020.0,969.7046,35.1378,1.1,30.106,2.2,21.0827,0.9163546666666664,25.0952
1978197.438,2,1700,1020.0,969.7046,35.1378,1.1,30.106,2.3,22.8396,0.8458258461538462,24.3064
1978197.438,2,1700,1020.0,969.7046,35.1378,1.1,30.106,2.4,24.5965,0.7853702857142857,23.5906
1978197.438,2,1700,1020.0,969.7046,35.1378,1.1,30.106,2.5,26.3534,0.7329733333333335,22.9479
1978197.438,2,1700,1020.0,969.7046,35.1378,1.1,30.106,2.6,28.1103,0.6871239999999998,22.3783
1978197.438,2,1700,1020.0,969.7046,35.1378,1.1,30.106,2.7,29.8671,0.6466668235294116,21.8818
1978197.438,2,1700,1020.0,969.7046,35.1378,1.1,30.106,2.8,31.624,0.6107031111111112,21.4584
1978197.438,2,1700,1020.0,969.7046,35.1378,1.1,30.106,2.9,33.3809,0.5785233684210525,21.1081
1978197.438,2,1700,1020.0,969.7046,35.1378,1.1,30.106,3.0,35.1378,0.5495599999999999,20.8309
